raw,n,sexes,id,canonical,group,indoor,implement_kg,barrier_cm,spacing_m,age_band,rankable,lower_better,confidence,note
20 Kilometres Race Walk,154,FM,20_km_race_walk,20 km Race Walk,walk,False,,,,,True,True,OK,
4 Miles Road,145,FM,4_miles_road,4 Miles Road,road,False,,,,,True,True,OK,
30 Kilometres Road,136,FM,30_km_road,30 km Road,road,False,,,,,True,True,OK,
Heptathlon Short Track,129,M,heptathlon_indoor,Heptathlon,combined,True,,,,,True,False,OK,
4x800 Metres Relay Short Track,127,FM,4x800m_relay_indoor,4x800m Relay,relay,True,,,,,False,True,OK,
Sprint Medley 1600m,122,FM,sprint_medley_1600m,Sprint Medley 1600m,relay,False,,,,,False,True,OK,
Road Race,116,FM,road_race,Road Race,road,False,,,,,False,True,OK,distance not stated
Shot Put (4kg),101,M,shot_put_4kg,Shot Put,throw,False,4.0,,,,True,False,OK,
500 Metres,71,FM,500m,500m,middle,False,,,,,True,True,OK,
Heptathlon U18,68,FM,heptathlon_u18_u18,Heptathlon U18,combined,False,,,,U18,True,False,OK,age band U18
Road Relay,65,FM,road_relay,Road Relay,relay,False,,,,,False,True,OK,
8x100 Metres Relay,63,FM,8x100m_relay,8x100m Relay,relay,False,,,,,False,True,OK,
10 Kilometres Race Walk,56,FM,10_km_race_walk,10 km Race Walk,walk,False,,,,,True,True,OK,
200 Metres Hurdles,53,FM,200m_hurdles,200m Hurdles,hurdles,False,,,,,True,True,OK,
200 Metres Hurdles Straight,52,FM,200m_hurdles_straight,200m Hurdles Straight,hurdles,False,,,,,True,True,OK,
150 Metres Straight,49,M,150m_straight,150m Straight,sprint,False,,,,,True,True,OK,
"10,000 Metres Race Walk",48,FM,10000m_race_walk,10000m Race Walk,walk,False,,,,,True,True,OK,
150m Straight,45,F,150m_straight,150m Straight,sprint,False,,,,,True,True,OK,
One Hour,44,FM,one_hour,One Hour,distance,False,,,,,True,True,OK,
3000 Metres Steeplechase Short Track,43,FM,3000m_steeplechase_indoor,3000m Steeplechase,distance,True,,,,,True,True,OK,
Decathlon U20,42,M,decathlon_u20_u20,Decathlon U20,combined,False,,,,U20,True,False,OK,age band U20
Shuttle Hurdles,39,FM,shuttle_hurdles,Shuttle Hurdles,hurdles,False,,,,,True,True,OK,
Pentathlon Girls Short Track,37,FM,pentathlon_girls_girls_indoor,Pentathlon Girls,combined,True,,,,Girls,True,False,OK,age band Girls
4x100 Metres Shuttle Hurdles,37,F,4x100m_shuttle_hurdles,4x100m Shuttle Hurdles,hurdles,False,,,,,True,True,OK,
2000 Metres Steeplechase Short Track,32,FM,2000m_steeplechase_indoor,2000m Steeplechase,distance,True,,,,,True,True,OK,
6 Kilometres Road,30,F,6_km_road,6 km Road,road,False,,,,,True,True,OK,
4x400 Metres Relay Mixed Short Track,29,FM,4x400m_relay_mixed_indoor,4x400m Relay Mixed,relay,True,,,,,False,True,OK,
